RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE
MADUVAL ACESSORIOS INDUSTRIAIS LTDA,19445660000104,"RUA DR FELIPE ELIAS  434 , JUNDIAI",-23.1687181,-46.9054166,JUNDIAI
PERFIL E STYLU'S COMERCIO DE MATERIAIS DE CONSTRUCAO EIRELI,19448090000106,"RUA ANTONIETA DE MORAIS  406 , SAO PAULO",-23.5442392,-46.5271454,SAO PAULO
LGCINSTALACOES  EIRELI,19448103000228,"RUA PADRE JOAO DA CUNHA  386 , SAO PAULO",-23.6008197,-46.7937549,SAO PAULO
MOTO BRASIL COMERCIO DE FERRAMENTAS LTDA,19451052000102,"AVENIDA SAO JOAO  1086 , SAO PAULO",-23.5400995,-46.6438536,SAO PAULO
ALE LIGHT COMERCIO DE EQUIPAMENTOS E EVENTOS PROFISSIONAIS EIRELI,19451083000163,"RUA VITORIA  159 , SAO PAULO",-23.5377572,-46.6381946,SAO PAULO
RODRIGO APARECIDO GOMES DE ARAUJO 30114779813,19476256000106,"RUA FREI CANECA  232 , SANTO ANDRE",-23.6415339,-46.5268931,SANTO ANDRE
RUBIA FORMAGGI E SILVA,19480787000164,"RUA BARAO DE ITAPETININGA  255 , SAO PAULO",-23.5442163,-46.6414268,SAO PAULO
SANTA FRANCISCA DOS SANTOS 04559696632,19483538000122,"AVENIDA RIO DAS PEDRAS  1438 , SAO PAULO",-23.5671724,-46.5111667,SAO PAULO
VAGNER ROBERTO SANCHES 13186863856,19484001000187,"RUA IGNACIO TORRICELLI  57 , JUNDIAI",-23.1941835,-46.8794858,JUNDIAI
MUNDIAL GRAN MARMORES E GRANITOS EIRELI,19486203000168,"RUA LUIS MATEUS  1600 , SAO PAULO",-23.5582236,-46.4221533,SAO PAULO
LUIS HENRIQUE DE SOUZA SANTOS PISOS LAMINADOS,19490660000126,"AVENIDA ANTONIO MATHIAS DE CAMARGO  475 , COTIA",-23.6090982,-46.9294293,COTIA
JOHN LENNON VIEIRA DA SILVA,19490830000172,"RUA DAS MAGNOLIAS  437 , FRANCISCO MORATO",-23.2805592,-46.7409907,FRANCISCO MORATO
GOULART COMERCIO DE FERRAGENS  EIRELI,19494501000108,"RUA GLAUBER ROCHA  457 , SAO PAULO",-23.6104635,-46.5199019,SAO PAULO
JOSE GRIGORIO DA SILVA SERRARIA EIRELI,19500036000162,"RUA IFEMA  1031 , VARGEM GRANDE PAULISTA",-23.5979791,-47.0110639,VARGEM GRANDE PAULISTA
LUX  VIDROS COMERCIO DE VIDROS E ESPELHOS LTDA,19509832000166,"AVENIDA PAULA CANDIDO  520 , SAO PAULO",-23.5835873,-46.4932714,SAO PAULO
SX COMERCIO & SERVICO DE GESSO LTDA,19510170000144,"AVENIDA BENIGNO CARRERA  425 , SAO PAULO",-23.6610492,-46.6501812,SAO PAULO
AVELINO EUSTAQUIO DE ALMEIDA 17580740869,19520376000155,"RUA LAGOA DA AGUA PRETA  177 , SAO PAULO",-23.4793328,-46.7021048,SAO PAULO
VANDA MARIA DO CARMO MENDES SEGURA 05934582810,19536360000130,"RUA FRANCISCO NOGY  46 , FERRAZ DE VASCONCELOS",-23.5501066,-46.3943707,FERRAZ DE VASCONCELOS
MARZELI DE FATIMA ALJARILA DARUIX 29116703880,19537090000182,"AVENIDA AMADOR BUENO DA VEIGA  929 , SAO PAULO",-23.5227157,-46.5358396,SAO PAULO
MMF ELETRICA EIRELI,19541386000177,"RUA NOVA JERUSALEM  400 , SAO PAULO",-23.5456976,-46.5492343,SAO PAULO
ENGEMOD ESTRUTURAS METALICAS UNIPESSOAL LTDA,19543126000130,"AVENIDA IPANEMA  621 , SAO PAULO",-23.6841428,-46.7102747,SAO PAULO
NAZIH MIKHAEL RAAD 52948951887,19558660000110,"AVENIDA TARUMA  464 , SAO PAULO",-23.5116201,-46.5269912,SAO PAULO
JOSE RIBEIRO DO NASCIMENTO 07920345898,19558936000160,"RUA PEDRO CINTRA  17 , SAO LOURENCO DA SERRA",-23.8567414,-46.9458619,SAO LOURENCO DA SERRA
ARMAZEM BARROCO COMERCIO DE MOVEIS E MADEIRA DE DEMOLICAO EIRELI,19560563000162,"RUA JORGE AMADO  172 , VARGEM GRANDE PAULISTA",-23.6227618,-47.0496891,VARGEM GRANDE PAULISTA
PROENCA FERRAGENS E MATERIAL DE CONSTRUCAO LTDA,19567501000182,"RUA NELSON FERREIRA DA COSTA  744 , ITAPEVI",-23.5347494,-46.9278014,ITAPEVI
ADRIEL LIMA SENA 42776326882,19568082000101,"RUA GUILHERME GARIJO  1265 , SUZANO",-23.491199,-46.2842732,SUZANO
BIG COMERCIAL  EIRELI,19571582000194,"RUA HORACIO FELICIANI  50 , JUNDIAI",-23.1568732,-46.9119972,JUNDIAI
MARLENE SOARES STREITENBERGER 10978868838,19571935000156,"RUA VEREADOR JOSE SILVEIRA  454 , MOGI DAS CRUZES",-23.5349674,-46.1906406,MOGI DAS CRUZES
IRINEU PEREIRA DE JESUS 64099750825,19572795000130,"AVENIDA ADOLFO COELHO  222 , SAO PAULO",-23.475222,-46.6455763,SAO PAULO
GVI COMERCIO DE MARMORES E GRANITOS LTDA,19574925000174,"RUA ANTONIO BENEDITO FERREIRA  47 , OSASCO",-23.4993249,-46.8089462,OSASCO
LEONARDO CANDIDO FIUZA FILHO  COMERCIO DE PORTOES,19578489000101,"RUA MARTINHO LUTERO  32 , SAO PAULO",-23.627528,-46.7673442,SAO PAULO
RODRIGO M PURGATO COMERCIO DE MADEIRAS EIRELI,19579125000146,"RUA NELSON DE MORAES LOPES  163 , SAO PAULO",-23.5197136,-46.6084669,SAO PAULO
GESSO MIX COMERCIO E SERVICOS EIRELI,19584215000125,"RUA COMANDANTE TAYLOR  462 , SAO PAULO",-23.6002599,-46.5998545,SAO PAULO
HAMILTON DONCIGLIO FERRAMENTAS,19584919000106,"RUA PROTAGORAS  134 , SAO PAULO",-23.5936864,-46.5359756,SAO PAULO
GMC COMPONENTES ELETRICOS E AUTOMACAO LTDA,19594385000190,"RUA FABIO DA SILVA PRADO (VL FLORIDA)  29 , SAO BERNARDO DO CAMPO",-23.6581511,-46.5968447,SAO BERNARDO DO CAMPO
GMC COMPONENTES ELETRICOS E AUTOMACAO LTDA,19594385000190,"RUA FABIO DA SILVA PRADO (VL FLORIDA)  29 , SAO BERNARDO DO CAMPO",-23.6581511,-46.5968447,SAO BERNARDO DO CAMPO
DIPLAC COMERCIO E SERVICOS DE DRYWALL EIRELI,19595190000165,"AVENIDA VITOR MANZINI  381 , SAO PAULO",-23.6631887,-46.7071144,SAO PAULO
CLASSICO METAIS COMERCIO DE ARTEFATOS DE METAIS EIRELI,19595604000156,"RUA DA TERRA  133 , DIADEMA",-23.697913,-46.6077657,DIADEMA
ELEGANCY COM DE FORROS DIVISORIAS PISOS E GESSO LTDA,19597919000132,"RUA ALCIDES DE QUEIROS  456 , SANTO ANDRE",-23.6606887,-46.5179449,SANTO ANDRE
TONI PROTETICOS COMERCIO VIRTUAL DE ARTIGOS PROTETICOS E DENTARIOS LTDA,19608659000153,"AVENIDA VILA EMA  2970 , SAO PAULO",-23.5833575,-46.5487158,SAO PAULO
INNOVARE METAIS E ACESSORIOS LTDA,19612255000133,"AVENIDA LOTHAR WALDEMAR HOEHNE  449 , MOGI DAS CRUZES",-23.508868,-46.2009675,MOGI DAS CRUZES
R VAROTTI FERRAGENS E MADEIRAS EIRELI,19612544000132,"RUA VITO OSVALDO SAPONARA  200 , SAO PAULO",-23.4769727,-46.6729412,SAO PAULO
PIROLA COSTA MARTINS LTDA,19617252000192,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO  1371 , SANTO ANDRE",-23.6752998,-46.5066171,SANTO ANDRE
LUIZ CLEBER CHAVES DOS SANTOS 36661612860,19622602000109,"AVENIDA GENERAL MAC ARTHUR  1766 , SAO PAULO",-23.5527931,-46.7566142,SAO PAULO
JOEL DOS SANTOS FILHO 26185972816,19628087000174,"RUA DENIS ANTONIO CASEMIRO  121 , SAO PAULO",-23.5140023,-46.4930324,SAO PAULO
KRM  COMERCIO DE MATERIAL ELETRICO LTDA,19628766000143,"ALAMEDA TIBIRICA  480 , MAIRIPORA",-23.3223713,-46.5871341,MAIRIPORA
ALDEVAN CAVALCANTI MACIEL,19631382000180,"RUA FERNANDO PESSOA  163 , JANDIRA",-23.5371576,-46.9057069,JANDIRA
BELINI GLASS COMERCIO VAREJISTA DE VIDROS EIRELI,19632837000181,"RUA DOMINGOS RODRIGUES  216 , SAO PAULO",-23.5201635,-46.7077534,SAO PAULO
HIDROSERVICE GRANJA COMERCIAL EIRELI,19645814000101,"RUA MONET  272 , COTIA",-23.5938359,-46.8280707,COTIA
R A LAMINADOS DE MADEIRAS LTDA,19649024000102,"RUA SAO SILVESTRE  19 , OSASCO",-23.4885363,-46.7774134,OSASCO
PBORGES CONSTRUCAO CIVIL E TREINAMENTO EIRELI,19654349000175,"AVENIDA MORUMBI  8509 , SAO PAULO",-23.621562,-46.6885368,SAO PAULO
JOAO PALOCO 94914036800,19656201000170,"RUA BARAO ANTONIO DE CAIRARI  99 , SAO PAULO",-23.5607309,-46.4549463,SAO PAULO
ILZA ROSA DOS SANTOS LIMA 12711488896,19656296000121,"TRAVESSA BELEM  47 , SAO PAULO",-23.7018598,-46.7896096,SAO PAULO
FP CHIRULLA COMERCIO DE MATERIAIS DE CONSTRUCOES,19660163000129,"RUA ITAPETININGA (ARUA)  331 , MOGI DAS CRUZES",-23.476788,-46.2623301,MOGI DAS CRUZES
SIDNEI DAMAZIO EXPEDITO 15644999874,19660532000183,"RUA BENEDITO DE CARVALHO FILHO  17 , MOGI DAS CRUZES",-23.5569573,-46.2174341,MOGI DAS CRUZES
"GALVIANI COMERCIO VIRTUAL DE MATERIAIS ELETRICOS, HIDRAULICOS E FERRAGENS LTDA",19670226000128,"RUA ORATORIO  1445 , SANTO ANDRE",-23.6387398,-46.5195722,SANTO ANDRE
CAM ARANTES PISOS LAMINADOS,19676206000164,"AVENIDA SETE DE SETEMBRO  161 , DIADEMA",-23.6873159,-46.6087736,DIADEMA
OSMAR GALBIATTI 00819152846,19677689000111,"AVENIDA DA BARREIRA GRANDE  185 , SAO PAULO",-23.5836809,-46.5330934,SAO PAULO
R L PISOS E REVESTIMENTOS LTDA,19680913000124,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA  7148 , SAO PAULO",-23.6759855,-46.6296097,SAO PAULO
J M DOS SANTOS MATERIAIS PARA CONSTRUCOES,19683165000133,"RUA TRES CORACOES  801 , SAO PAULO",-23.7745004,-46.6755797,SAO PAULO
EDSON LIMA DE SOUZA PORTOES,19685112000151,"AVENIDA ANDORINHADOSBEIRAIS  171 , SAO PAULO",-23.6765672,-46.7951541,SAO PAULO
CGAMA DOS SANTOS,19691460000131,"RUA TUPINAMBAS  678 , DIADEMA",-23.696749,-46.6138882,DIADEMA
RITA DE CASSIA MELANDA 09378965865,19702193000150,"RUA MELANDA  99 , SAO PAULO",-23.4486353,-46.586991,SAO PAULO
FORIAN COMERCIO DE GESSO LTDA,19707592000104,"RUA COTIA  141 , SANTO ANDRE",-23.6728039,-46.5522625,SANTO ANDRE
SANTOS E LACERDA MATERIAL DE CONSTRUCAO LTDA,19712849000116,"ESTRADA DO KOYAMA  1813 , SUZANO",-23.6539992,-46.3138483,SUZANO
"ROKKA DECOR MARMORES, GRANITOS, IMPORTACAO E EXPORTACAO  EIRELI",19717791000101,"RUA CONDESSA DE PINHAL  325 , SAO PAULO",-23.6167436,-46.66488,SAO PAULO
NP MANGUEIRAS E CONEXOES LTDA,19723223000105,"AVENIDA SAPOPEMBA  16064 , SAO PAULO",-23.6235345,-46.4613411,SAO PAULO
SHOW LEDS COMERCIO DE ELETRICA E FERRAMENTAS LTDA,19723314000140,"RUA CARAMURU  727 , SAO PAULO",-23.6105594,-46.6368043,SAO PAULO
EDILSON LUIZ MITHIDIERI 85909157868,19727230000185,"RUA PROFESSOR WOLF  40 , SAO PAULO",-23.467817,-46.59799,SAO PAULO
RE COMERCIO DE PORTAS E PORTOES LTDA,19734670000160,"AVENIDA RIO DAS PEDRAS  4196 , SAO PAULO",-23.5840593,-46.4931242,SAO PAULO
REI DA OFERTA COMERCIO EM GERAL LTDA,19740263000165,"RUA CANDEIAS  322 , SAO PAULO",-23.5716111,-46.5114084,SAO PAULO
FB PORTAS E PORTOES AUTOMATICOS EIRELI,19741197000148,"AVENIDA ODILON PIRES  285 , SAO PAULO",-23.5651241,-46.5089106,SAO PAULO
DEPOSITO CASA LISBOA COMERCIO DE MATERIAIS PARA CONSTRUCOES EIRELI,19742232000143,"ESTRADA DO COPIUVA  763 , CARAPICUIBA",-23.5501593,-46.8233635,CARAPICUIBA
TOMITA COMERCIO DE MATERIAIS DE CONSTRUCAO IMPORTACAO E EXPORTACAO LTDA,19743971000150,"RUA FREI BONIFACIO HARINK  396 , MOGI DAS CRUZES",-23.485267,-46.1319152,MOGI DAS CRUZES
MARINALDO DE JESUS PIRES 01115271555,19753371000172,"RUA DOS IMIGRANTES  190 , OSASCO",-23.48774,-46.7914323,OSASCO
REKELL PECAS E EQUIPAMENTOS INDUSTRIAIS EIRELI,19756926000130,"RUA STEFANO MALESQUI  52 , MAUA",-23.6535712,-46.4898355,MAUA
MINERIOS ARRUELAS LTDA,19758639000169,"RUA MANUEL DOS SANTOS SIMOES  220 , SAO PAULO",-23.5261072,-46.4125377,SAO PAULO
ALPHA BAMBU COMERCIO DE VARIEDADES EIRELI,19761473000130,"RUA TAMUATA  291 , SAO PAULO",-23.6228929,-46.5935514,SAO PAULO
COMERCIO DE FERRAGENS ARICANDUVA LTDA,19765680000162,"AVENIDA RIO DAS PEDRAS  2500 , SAO PAULO",-23.5747687,-46.5049156,SAO PAULO
COMERCIO DE MATERIAL DE CONSTRUCAO LEOPOLDINA LTDA,19769726000111,"RUA ALCIDES MENDES BARROS  128 , CARAPICUIBA",-23.5494247,-46.8416298,CARAPICUIBA
REC ACUSTICA ESQUADRIAS LTDA,19776175000113,"AVENIDA MIGUEL ACHIOLE DA FONSECA  1173 , SAO PAULO",-23.5591208,-46.4006058,SAO PAULO
TATIANA MARIA TEIXEIRA 22669354882,19776711000180,"RUA OLHO D'AGUA DO BORGES  520 , SAO PAULO",-23.4972261,-46.5046255,SAO PAULO
JEANE COSTA MOREIRA PEREIRA 38962672804,19786835000147,"RUA CICERO PAULO  108 , SAO PAULO",-23.5039564,-46.5175765,SAO PAULO
JLT COMERCIO E TRANSPORTE EIRELI,19788863000101,"AVENIDA LOTHAR WALDEMAR HOEHNE  1981 , MOGI DAS CRUZES",-23.5028596,-46.1936526,MOGI DAS CRUZES
JOSE FERREIRA DE LIMA MATERIAIS DE CONSTRUCOES,19789587000198,"RUA GUILHERME GEORGE  2290 , MOGI DAS CRUZES",-23.540429,-46.2695572,MOGI DAS CRUZES
TELHADOS COBERTURAS E IMPERMEABILIZACOES BUTANTA LTDA,19794295000143,"RUA MILTON SOARES  271 , SAO PAULO",-23.5754059,-46.7611309,SAO PAULO
CENTER SUL MATERIAIS DE CONSTRUCAO LTDA,19802748000136,"ESTRADA DE ITAPECERICA  4587 , SAO PAULO",-23.660363,-46.7723749,SAO PAULO
MARIA REJANE DE LIMA 18296805871,19817921000170,"RUA PROFESSOR FLORESTAN FERNANDES (JD DAS ORQUIDEAS)  78 , SAO BERNARDO DO CAMPO",-23.7497428,-46.6019319,SAO BERNARDO DO CAMPO
RICARDO SARRAIPA 34910547886,19819230000105,"RUA DO ENSINO  531 , SAO PAULO",-23.6168173,-46.4314774,SAO PAULO
AG BRASIL IMPORTADORA EIRELI,19840595000111,"RUA ALMIRANTE NORONHA  726 , SAO PAULO",-23.4890197,-46.6170954,SAO PAULO
DURAPLAN CONSTRUCOES E PROJETOS EIRELI,19841332000127,"RUA DR ASSIS RIBEIRO  536 , SAO PAULO",-23.5095724,-46.5455799,SAO PAULO
DURAPLAN CONSTRUCOES E PROJETOS EIRELI,19841332000127,"RUA DR ASSIS RIBEIRO  536 , SAO PAULO",-23.5095724,-46.5455799,SAO PAULO
GILDETE F DA SILVA MATERIAIS PARA CONSTRUCAO,19842148000100,"RUA UCHOA  500 , CARAPICUIBA",-23.5646429,-46.8354067,CARAPICUIBA
HDC MATERIAIS PARA CONSTRUCOES LTDA,19842256000174,"PRACA CORONEL MELO GAIA  326 , SAO PAULO",-23.5971183,-46.5596692,SAO PAULO
BLINKIE ILUMINACAO IMPORTACAO E EXPORTACAO LTDA,19843136000191,"RUA PDE RAPOSO  930 , SAO PAULO",-23.5634055,-46.5941443,SAO PAULO
NRR  COMERCIO E INSTALACAO DE VIDROS E ESQUADRIAS LTDA,19845294000180,"RUA PORANGABA  27 , SANTO ANDRE",-23.6459352,-46.5085252,SANTO ANDRE
CASA DAS COBERTURAS LTDA,19846797000170,"RUA JULIETA (VL JAHU)  124 , SAO BERNARDO DO CAMPO",-23.6884674,-46.5677521,SAO BERNARDO DO CAMPO
CASA DAS COBERTURAS LTDA,19846797000170,"RUA JULIETA (VL JAHU)  124 , SAO BERNARDO DO CAMPO",-23.6884674,-46.5677521,SAO BERNARDO DO CAMPO
MUNDIAL RIBEIRAO COMERCIO DE ESQUADRIAS E PINTURA EIRELI,19850990000185,"AVENIDA FRANCISCO MONTEIRO  1900 , RIBEIRAO PIRES",-23.7041846,-46.3970828,RIBEIRAO PIRES
HORAS COMERCIO DE MATERIAIS DE CONSTRUCAO E PRESTACAO DE SERVICOS  EIRELI,19852822000129,"RUA SAO MAURICIO  92 , OSASCO",-23.5324567,-46.791413,OSASCO
S M DE AZEVEDO BEZERRA,19859458000129,"RUA CATLEIAS  29 , SAO PAULO",-23.4853252,-46.4563679,SAO PAULO
C S BESERRA MATERIAIS DE CONSTRUCAO,19867604000168,"RUA CAPITAO JOSE GALLO  240 , RIBEIRAO PIRES",-23.7121682,-46.4155578,RIBEIRAO PIRES
GILSON LUIS DISERO FERRAMENTARIA,19867987000174,"RUA TERCEIROSARGENTOAERONAUTICA JOAO LOPES FILHO  370 , SAO PAULO",-23.5219364,-46.5695544,SAO PAULO
CENTER BANHO JUNDIAI EIRELI,19869562000102,"RUA DO RETIRO  1597 , JUNDIAI",-23.1821736,-46.9012785,JUNDIAI
AHELEN MARCIA DA SILVAESQUADRIAS DE MADEIRA,19877949000100,"RUA DO GASOMETRO  207 , SAO PAULO",-23.5443086,-46.6242744,SAO PAULO
NETRIPORTE MANUTENCAO E COMERCIO DE FERRAGENS LTDA,19878163000108,"RUA GUAXUPE  368 , SAO PAULO",-23.5577842,-46.5517525,SAO PAULO
RONEY CARLOS SILVA SOUZA,19880373000122,"AVENIDA MIGUEL STEFANO  1120B , SAO PAULO",-23.6228404,-46.6293401,SAO PAULO
IOSSEF KATRI  TINTAS,19904346000142,"RUA DO CANAVIAL  17 , SAO PAULO",-23.4747987,-46.6655479,SAO PAULO
ROSANE RODRIGUES MATEUS GODINHO 07360027829,19911679000107,"ESTRADA CRISPIM  83 , ITAPECERICA DA SERRA",-23.7543858,-46.7898978,ITAPECERICA DA SERRA
HECLABI COMERCIO E SOLUCOES EM REVESTIMENTOS LTDA,19913976000183,"AVENIDA PAES DE BARROS  2905 , SAO PAULO",-23.5761097,-46.5869755,SAO PAULO
UNISEG DO BRASIL DISTRIBUIDOR ELETRONICO EIRELI,19916765000102,"AVENIDA GETULIO VARGAS  1019 , SAO BERNARDO DO CAMPO",-23.6916684,-46.5437547,SAO BERNARDO DO CAMPO
MADENORTE COMERCIO DE MADEIRAS E FERRAGENS LTDA,19921375000112,"RUA IDA BOSCHETTI  547 , SAO PAULO",-23.4901953,-46.5889317,SAO PAULO
NOVA USIMAK USINAGEM E MANUTENCAO EIRELI,19921982000182,"AVENIDA ORFEO PARAVENTE  307 , SAO PAULO",-23.738005,-46.7151589,SAO PAULO
CENTER CURIO MATERIAIS DE CONSTRUCAO LTDA,19928255000147,"RUA ANTONIO JOSE BASTOS  90 , SAO PAULO",-23.6346518,-46.7522293,SAO PAULO
F J FERRO E ACO LTDA,19934804000196,"AVENIDA RICIERI JOSE MARCATTO  1075 , MOGI DAS CRUZES",-23.5047611,-46.1528069,MOGI DAS CRUZES
MANOEL APARECIDO GOMES DE SOUZA 96623276653,19935026000150,"AVENIDA FELIPPO STURBA  266 , SAO PAULO",-23.4403961,-46.7903412,SAO PAULO
ART GLASS REVESTIMENTOS E MOSAICOS LTDA,19941560000179,"RUA OSCAR FREIRE  2213 , SAO PAULO",-23.5535861,-46.6768949,SAO PAULO
ATUATIVA COMERCIO DE FERRAMENTAS E ASSESSORIA TECNICA LTDA,19943624000170,"RUA EMILIA MARENGO  260 , SAO PAULO",-23.5532108,-46.5648347,SAO PAULO
DJE COMERCIO DE ESTRUTURAS METALICAS EIRELI,19949234000108,"AVENIDA ANTONIO FUGA  450 , ITAQUAQUECETUBA",-23.5030222,-46.343353,ITAQUAQUECETUBA
FENIX SOLUCOES COMERCIAL ELETRICA LTDA,19950482000179,"RUA GUSTAVO LE BON  277 , SAO PAULO",-23.6058506,-46.532388,SAO PAULO
7S DEPOSITO DE MATERIAIS PARA CONSTRUCAO LTDA,19952402000114,"RUA FILON  264 , SAO PAULO",-23.5941273,-46.5371807,SAO PAULO
MAURICIO LOURENCO DE CARVALHO 07582445848,19955836000178,"AVENIDA SARAH VELOSO  560 , OSASCO",-23.5652461,-46.8030961,OSASCO
C FEITOZA VIDRACARIA EM GERAL,19966059000167,"RUA SILVIO  103 , SAO PAULO",-23.7994905,-46.7312709,SAO PAULO
F A MENDES RODRIGUES MATERIAIS DE CONSTRUCAO,19967608000118,"RUA MATUTINA ROCHA DE CAMPO (DER)  152 , SAO BERNARDO DO CAMPO",-23.7028668,-46.5593561,SAO BERNARDO DO CAMPO
FERRAMENTAS PINHEIROS COMERCIAL EIRELI,19969335000140,"RUA AMARO CAVALHEIRO  233 , SAO PAULO",-23.5674278,-46.6992339,SAO PAULO
BALHASS GRANITOS E PEDRAS ORNAMENTAIS EIRELI,19972753000197,"RUA SANTA EFIGENIA  226 , MOGI DAS CRUZES",-23.5452051,-46.2148404,MOGI DAS CRUZES
VICENTE MAURO DE SOUZA 56672438653,19981941000181,"RUA BOM RETIRO  482 , SAO BERNARDO DO CAMPO",-23.6722158,-46.5957026,SAO BERNARDO DO CAMPO
ROMAGNOLE   MATERIAIS PARA CONSTRUCAO LTDA,19989502000115,"RUA JOTACA  344 , SAO PAULO",-23.4902942,-46.7098267,SAO PAULO
SILVANA SILVA LEAL,19994414000101,"AVENIDA ARMANDO COLANGELO  1341 , ARUJA",-23.3857174,-46.3260992,ARUJA
AKRA IMPORTADORA DE MAQUINAS E FERRAMENTAS EIRELI,19998695000170,"RUA ITAMARACA  78 , SAO PAULO",-23.5511591,-46.5807961,SAO PAULO
JEOGLASS COMERCIO DE VIDROS LTDA,20002245000165,"AVENIDA SAO MIGUEL  1856 , SAO PAULO",-23.5123567,-46.5127119,SAO PAULO
LUCIANO HENRIQUE DE SOUZA,20003734000131,"RUA EUCLIDES DA CUNHA  176 , OSASCO",-23.534905,-46.777327,OSASCO
SERAFIM DA COSTA NETO 10666306826,20006704000189,"RUA MANOEL NUNES DA SILVA (JD OLIVEIRAS III)  132 , SAO BERNARDO DO CAMPO",-23.7510869,-46.592547,SAO BERNARDO DO CAMPO
PAULO ROBERTO DO NASCIMENTO 72748745949,20007065000176,"RUA FRANCISCO JOSE VIANA  278 , SAO PAULO",-23.605873,-46.4015175,SAO PAULO
RV EQUIPAMENTOS PARA CONSTRUCAO CIVIL LTDA,20012821000155,"RUA LUPE GIGLIOTTI  4 , SAO PAULO",-23.4756744,-46.7572563,SAO PAULO
MADEIREIRA SAO JOSE PATRIARCA LTDA,20013565000110,"RODOVIA REGIS BITTENCOURT  SN , JUQUITIBA",-23.944959,-47.0971863,JUQUITIBA
LEILA ALVES PEREIRA 36419364892,20017723000100,"RUA BERNARDINO SILVA  12 , SAO PAULO",-23.497229,-46.4081111,SAO PAULO
DEVALE MATERIAIS E EQUIPAMENTOS EIRELI,20019003000184,"RUA TAMUATA  251 , SAO PAULO",-23.6225939,-46.5931687,SAO PAULO
ELIAS RANGEL MENDONCA 36356653809,20020841000178,"RUA AGAMENON PEREIRA DA SILVA  874 , SAO PAULO",-23.6980607,-46.7738302,SAO PAULO
CREATIVE LAZER MATERIAIS PARA CONSTRUCAO LTDA,20023200000177,"RUA KONOI ENDO (JARDIM JAPAO)  172 , SUZANO",-23.5498314,-46.3162854,SUZANO
RENOVE MARMORES E GRANITOS LTDA,20023462000131,"AVENIDA GOVERNADOR MARIO COVAS  121 , CARAPICUIBA",-23.5208507,-46.8329468,CARAPICUIBA
MARIA JOSE FERREIRA DOS SANTOS 09105952832,20027463000154,"AVENIDA PRESIDENTE COSTA E SILVA  1063 , JANDIRA",-23.5420956,-46.9078001,JANDIRA
MARCOS DANIEL MOREIRA DOS SANTOS 13534027892,20036238000184,"RUA GIANNINO CARTA  248 , SAO PAULO",-23.5920392,-46.792303,SAO PAULO
PIGM STEEL FACAS E FERRAMENTAS DE CORTE EIRELI,20041685000121,"RUA MARTIM AFONSO  73 , SAO PAULO",-23.5382079,-46.5958143,SAO PAULO
MARLUCE JESUS DOS SANTOS MARQUES,20042226000162,"RUA AMERICO SUGAI  384 , SAO PAULO",-23.5045006,-46.4565664,SAO PAULO
ASTERI COMERCIO E INTALACOES ELETRICAS LTDA,20051113000123,"RUA DOUTOR LAURO PARENTE  34 , SAO PAULO",-23.6803872,-46.6680725,SAO PAULO
JPX VALVULAS E CONEXOES EIRELI,20053512000123,"RUA ARTHUR FRIEDENREICH  200 , SAO PAULO",-23.5127586,-46.4978138,SAO PAULO
RIO VERDE COMERCIO REPRESENTACAO COMERCIAL DISTRIBUIDORA LTDA,20055532000133,"RUA PROFESSOR JOAO SIMOES  N , SAO PAULO",-23.6267976,-46.6278889,SAO PAULO
STEP DO BRASIL  COMERCIO DE MATERIAIS ELETRICOS LTDA,20067447000195,"RUA RUI BARBOSA  157 , SAO BERNARDO DO CAMPO",-23.700323,-46.5543918,SAO BERNARDO DO CAMPO
GESSO LUZ DE ITAQUERA EIRELI,20071110000151,"AVENIDA JACUPESSEGO  1997 , SAO PAULO",-23.5442885,-46.4470616,SAO PAULO
JEFFERSON CARDOSO PRESTES,20071415000163,"RUA PIRATININGA  691 , SAO PAULO",-23.5506776,-46.6170515,SAO PAULO
NOVA ESPERANCA MATERIAL DE CONSTRU E SERRALHERIA EIRELI,20079401000196,"ESTRADA ENGENHEIRO MARCILAC  351 , SAO PAULO",-23.8313579,-46.7307847,SAO PAULO
"IKEDA MADEIRAS, FERRAGENS, SERVICOS COMERCIO E INDUSTRIA LTDA",20093880000103,"RUA PAIS LEME  116 , SAO PAULO",-23.567563,-46.697477,SAO PAULO
ERIKA CRISTINA CAVALLINI DE OLIVEIRA 25586747812,20097783000180,"AVENIDA JOSE RODRIGUES PIRES  519 , MOGI DAS CRUZES",-23.5473869,-46.264524,MOGI DAS CRUZES
MEC STONE COMERCIAL EIRELI,20102312000113,"RUA DO USHIKICHI KAMIYA  2 , SAO PAULO",-23.4386208,-46.5685041,SAO PAULO
REQUINTE BOMBAS E SERVICOS  LTDA,20102500000141,"RUA GAL TEIXEIRA DE CAMPOS  135 , SAO PAULO",-23.5875508,-46.7687159,SAO PAULO
MIXDE COMERCIO DE SUPRIMENTOS PARA PINTURA LTDA,20103389000108,"RUA BRIGADEIRO FARIA LIMA  15 , JANDIRA",-23.5349583,-46.9037576,JANDIRA
ENVIDRACE COMERCIO DE VIDROS LTDA,20103748000127,"RUA JOSE MASCARENHAS  1723 , SAO PAULO",-23.5366985,-46.5207488,SAO PAULO
