,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
7951,MOLITA MATERIAIS LTDA,24147293000100,"AVENIDA VITAL BRASIL  400 , POA",-23.5163654,-46.3418728,POA,4
7952,SANDRA CERQUEIRA DE SOUZA ALMEIDA 05483787897,24149945000138,"RUA VALMIR PINTO DE ALMEIDA  150 , OSASCO",-23.5649131,-46.8109922,OSASCO,3
7953,WILLIAM APARECIDO GARCIA 31404188843,24150882000130,"RUA CALIFORNIA  456 , MAUA",-23.6901451,-46.4408261,MAUA,4
7955,JOHNNY GONCALVES DE SOUSA SILVA 38163115807,24175696000155,"RUA ANTENOR LEARDINI  109 , MAUA",-23.6710203,-46.4318548,MAUA,4
7956,CLEBER SOARES DE MELO 10195276841,24176037000133,"RUA SIQUEIRA RENDON  13 , SAO PAULO",-23.5126697,-46.3970191,SAO PAULO,4
7957,MR COMERCIO E SERVICOS DE ESQUADRIAS LTDA,24176591000110,"RUA SIMIAO FERNANDES  310 , SAO PAULO",-23.6105777,-46.55938,SAO PAULO,2
7958,DS BIN MATERIAIS DE CONSTRUCAO,24177265000128,"AVENIDA DO ORATORIO  5707 , SAO PAULO",-23.6068055,-46.5221811,SAO PAULO,2
7959,UNICOR REVESTIMENTOS E TINTAS EIRELI,24177426000183,"RUA PINHAL  11 , COTIA",-23.6009641,-46.8983145,COTIA,4
7960,IVETE KIILIAN COSTA TINTAS,24178370000181,"RUA WOLSTEIN  22 , SAO PAULO",-23.5201521,-46.5146684,SAO PAULO,2
7961,K C MOREIRA ELETRICA EIRELI,24188696000190,"RUA GENERAL OSORIO  276 , SAO PAULO",-23.5369632,-46.6411083,SAO PAULO,1
7962,GAV PINTURAS EIRELI,24189055000150,"AVENIDA LUIZ IMPARATO  273 , SAO PAULO",-23.5010556,-46.4982709,SAO PAULO,2
7963,MMP4 COMUNICACAO VISUAL EIRELI,24195324000190,"RUA GABRIEL PRESTES  160 , SAO PAULO",-23.5124493,-46.6246937,SAO PAULO,1
7964,MG TUBOS E CONEXOES  EIRELI,24200120000109,"RUA LORD COCKRANE  775 , SAO PAULO",-23.5924847,-46.6002111,SAO PAULO,1
7965,R DE CASTRO FERREIRA COMERCIO DE MATERIAIS DE CONSTRUCAO,24203935000133,"RUA CORONEL JOSE LOPES DE TOLEDO  859 , SAO PAULO",-23.5768573,-46.5132315,SAO PAULO,2
7966,NEKFER COMERCIO DE FERRO LTDA,24207170000100,"RUA DOS PORTUGUESES  2014 , OSASCO",-23.4973376,-46.7971237,OSASCO,3
7967,ARCA DAS FERRAMENTAS EIRELI,24227499000132,"RUA LAGOA CLARA  89 , SAO PAULO",-23.569563,-46.4892872,SAO PAULO,2
7969,PAULO PEREIRA GONCALVES 05779061866,24238346000190,"RUA CORONEL PACHECO  56 , ITAQUAQUECETUBA",-23.4289253,-46.3088342,ITAQUAQUECETUBA,4
7970,ATLANTICOS CONSTRUCOES E EMPREENDIMENTOS EIRELI,24250131000195,"RUA LENCOIS  266 , SAO PAULO",-23.50608,-46.6536829,SAO PAULO,1
7971,FERRAMENTAS OZ LTDA,24258076000180,"RUA DOUTOR JOSE DE ALMEIDA VILLAS BOAS  283 , OSASCO",-23.4936461,-46.7978281,OSASCO,3
7972,DEMATE ENGENHARIA E TECNOLOGIA EIRELI,24261439000136,"AVENIDA ITABERABA  2940 , SAO PAULO",-23.4818701,-46.6846952,SAO PAULO,2
7973,RJP COMERCIO DE FERRAGENS E MATERIAIS PARA CONSTRUCAO LTDA,24262787000128,"RUA UHLAND  1172 , SAO PAULO",-23.5937708,-46.5336455,SAO PAULO,2
7974,BOM CLIMA LUMICOM COMERCIAL ELETRONICA EIRELI,24264440000114,"AVENIDA JOSINO VIEIRA DE GOES  1128 , SAO PAULO",-23.4459386,-46.5909853,SAO PAULO,2
7975,MARTIN DEPOSITO DE MATERIAIS DE CONSTRUCAO E MADEIRA LTDA,24270947000180,"AVENIDA PRESIDENTE ALTINO ARANTES  887 , MOGI DAS CRUZES",-23.5522557,-46.2570569,MOGI DAS CRUZES,4
7976,N A COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,24278623000199,"RUA SAO FRANCISCO DO PIAUI  327 , SAO PAULO",-23.5387388,-46.4455084,SAO PAULO,3
7977,NUNES & MOURA  COMERCIO E INSTALACAO DE COBERTURAS EIRELI,24282112000140,"RUA LILIENTAL  572 , SAO PAULO",-23.476306,-46.564785,SAO PAULO,2
7978,E C D O SANTOS  COMERCIO DE VIDROS,24293386000135,"RUA ARICAMIRIM  687 , SAO PAULO",-23.5251585,-46.4882818,SAO PAULO,2
7979,VALTER PISCINAS LTDA,24300556000161,"RUA DOS ENCANADORES  1616 , VARGEM GRANDE PAULISTA",-23.6162031,-47.0025101,VARGEM GRANDE PAULISTA,4
7980,DFS COMERCIO DE DIVISORIAS FORROS E EMBALAGENS EIRELI,24304344000152,"RUA DAMIAN VITANOV  59 , CARAPICUIBA",-23.5573251,-46.825596,CARAPICUIBA,3
7981,ABCFER COMERCIO DE FERRAMENTAS E FIXADORES ESPECIAIS LTDA,24304865000100,"AVENIDA BOM PASTOR  655 , SANTO ANDRE",-23.674995,-46.552662,SANTO ANDRE,3
7982,PORTELA DESIGNER MARMORES E GRANITOS LTDA,24309567000102,"RUA ANTONIO DE BARROS  1785 , SAO PAULO",-23.5457819,-46.5555972,SAO PAULO,1
7983,ANDERSON SOUSA FEITOSA 39107267800,24313484000197,"RUA QUITERIA ANA LEITE DA SILVA (CAPELINHA)  275 , SAO BERNARDO DO CAMPO",-23.7871178,-46.5038254,SAO BERNARDO DO CAMPO,4
7984,BARRETO COMERCIO DE FERRAMENTAS LTDA,24322070000124,"RUA PROFESSOR ANDRIOLI  43 , SAO PAULO",-23.4800764,-46.6911283,SAO PAULO,2
7985,JULIANA SIMAO CORREIA DE LIMA,24322566000106,"RUA GENERAL FRANCISCO GLICERIO  2630 , SUZANO",-23.557204,-46.3174282,SUZANO,4
7986,COPAMADE  COMERCIAL PAULISTA DE MADEIRAS LTDA,24325841000137,"RUA MONTEVIDEU  562 , ITAPECERICA DA SERRA",-23.7013392,-46.8651723,ITAPECERICA DA SERRA,4
7987,GILDASIO MOREIRA DA SILVA,24326537000104,"RUA DOS SUL AMERICANOS  342 , ITAPEVI",-23.5645881,-46.9330695,ITAPEVI,4
7988,DANIEL LUIS VARUZZA PINTO 27528579858,24329746000101,"RUA LICEU  220 , SAO PAULO",-23.5340209,-46.7227408,SAO PAULO,2
7989,NEW BOX VIDRACARIA LTDA,24331607000112,"RUA AMELIA GUERRA  486 , SUZANO",-23.5398679,-46.3019879,SUZANO,4
7990,JAGUARE FERRAMENTAS E PARAFUSOS EIRELI,24332210000145,"RUA CORONEL JAIME AMERICANO  30 , SAO PAULO",-23.5574817,-46.7497762,SAO PAULO,2
7991,VANDERLEI DE FREITAS 08252250866,24342561000137,"RUA ANTONIO BARREIROS  144 , SANTO ANDRE",-23.6871096,-46.4964935,SANTO ANDRE,4
7992,MS ARAUJO COMERCIO E SERVICOS DA CONSTRUCAO CIVIL LTDA,24348493000113,"AVENIDA DOM PEDRO DE ALCANTARA (VL S PEDRO)  213 , SAO BERNARDO DO CAMPO",-23.7188462,-46.526452,SAO BERNARDO DO CAMPO,4
7993,RENOVA TEXTURA E GRAFIATOS LTDA,24355846000102,"RUA DOS MARAPES  221 , SAO PAULO",-23.6547555,-46.6480754,SAO PAULO,2
7994,LICITA ONLINE EIRELI,24360974000144,"RUA KLEBER AFONSO  57 , FERRAZ DE VASCONCELOS",-23.5538106,-46.3876862,FERRAZ DE VASCONCELOS,4
7995,LAURO HIROSHI SASSAQUI 05619962881,24361994000130,"RUA CIDADE DE SANTO ANDRE  42 , DIADEMA",-23.6867942,-46.6149331,DIADEMA,3
7996,FRANCIANE DOS SANTOS NUNES 02657408001,24365168000169,"RUA RESTINGA  177 , CARAPICUIBA",-23.5402758,-46.8597493,CARAPICUIBA,4
7997,"MAQUINARIUM COMERCIO, IMPORTACAO E EXPORTACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS LTDA",24376280000103,"ALAMEDA TERRACOTA  185 , SAO CAETANO DO SUL",-23.6240509,-46.5806709,SAO CAETANO DO SUL,2
7998,ANDAIMES 2000 LTDA,24376798000139,"RUA INHAMBU  10 , SANTO ANDRE",-23.7282919,-46.483662,SANTO ANDRE,4
7999,ROSANA APARECIDA DE OLIVEIRA FERREIRA 14288244803,24380887000159,"RUA BENTO GONCALVES  351 , SAO PAULO",-23.5532334,-46.5705414,SAO PAULO,1
8000,APLITECNO COMERCIAL EIRELI,24384654000124,"RUA PEDRO SANTALUCIA  450 , SAO PAULO",-23.7000277,-46.6909649,SAO PAULO,3
8001,LH FERRAMENTAS LTDA,24386043000115,"RUA SANT'ANA  654 , SAO PAULO",-23.6718998,-46.6856871,SAO PAULO,3
8003,ARTE SAUNAS COMERCIO EIRELI,24390085000120,"AVENIDA JOAO VENTURA DOS SANTOS  639 , OSASCO",-23.4990116,-46.7883554,OSASCO,3
8005,ROSEMARY DA SILVA VIEIRA FERRAMENTAS,24396388000150,"RUA FRANCISCO XAVIER DE ABREU  610 , SAO PAULO",-23.6486199,-46.7392178,SAO PAULO,3
8006,GOM MATERIAIS PARA CONSTRUCAO EIRELI,24409064000109,"RUA AUGUSTA  2112 , SAO PAULO",-23.560583,-46.6629068,SAO PAULO,1
8007,S R VIOLANTE MECATRONICA,24424737000108,"AVENIDA FRANCISCO RODRIGUES  562 , SAO PAULO",-23.4709395,-46.579413,SAO PAULO,2
8008,CONTRACTGEO COMERCIAL  EIRELI EM RECUPERACAO JUDICIAL,24433541000171,"RUA DO MANIFESTO  2092 , SAO PAULO",-23.5918833,-46.6003759,SAO PAULO,1
8009,SERV FORROS  EIRELI,24437000000111,"AVENIDA VALENTIM MAGALHAES  2598 , SANTO ANDRE",-23.6915762,-46.4941221,SANTO ANDRE,4
8010,LOPES COMERCIO DE FERRO E FERRAGENS  EIRELI,24437812000167,"RUA PONTAL  101 , CARAPICUIBA",-23.5501164,-46.8263055,CARAPICUIBA,3
8011,JBRASIL COMERCIAL EIRELI,24447835000152,"AVENIDA LOURIVAL FONTES  202 , SAO PAULO",-23.6104302,-46.5068426,SAO PAULO,2
8012,ERIQUE DE VASCONCELOS PONTES,24450547000157,"ESTRADA DAS PIUVAS  80 , ITAPECERICA DA SERRA",-23.7024863,-46.7981427,ITAPECERICA DA SERRA,4
8013,"ALG  COMERCIO DE MADEIRAS, LOCACOES E SERVICOS EIRELI",24453500000147,"RUA DO IMPERADOR  1853 , SAO PAULO",-23.5085511,-46.5941782,SAO PAULO,1
8014,JORGE A DA ROCHA TINTAS,24453959000140,"AVENIDA BRASIL  2003 , FERRAZ DE VASCONCELOS",-23.5438878,-46.372222,FERRAZ DE VASCONCELOS,4
8015,PANORAMA TAMPAS DE ALUMINIO LTDA,24454494000142,"RUA AFONSO RODRIGUES  123 , SAO PAULO",-23.4504274,-46.7191632,SAO PAULO,2
8016,MARCOS AURELIO OLIVEIRA BARBOSA 39931900334,24459233000115,"RUA FAICAL MURAD  774 , SAO PAULO",-23.4418533,-46.7886123,SAO PAULO,3
8017,MARIA MOURA DA SILVA 78326427420,24459707000129,"ESTRADA DOS HENGLES  1724 , ITAPECERICA DA SERRA",-23.7605465,-46.8815694,ITAPECERICA DA SERRA,4
8018,M J COMERCIO DE EQUIPAMENTOS ELETRICOS E PORTOES LTDA,24464015000179,"RUA MARTA  191 , SAO PAULO",-23.5297474,-46.6621777,SAO PAULO,1
8019,ANJUS COMERCIO DE FERRO E ACO EIRELI,24464244000193,"AVENIDA INDUSTRIAL  2815 , SANTO ANDRE",-23.6316758,-46.5438292,SANTO ANDRE,2
8020,TABATHA DOS SANTOS CORAZZA 43100440854,24468260000154,"RUA OURINHOS  138 , SANTO ANDRE",-23.6925505,-46.5238777,SANTO ANDRE,3
8021,SILVANIO ALVES DA SILVA,24472047000116,"ESTRADA DO CARNEIRO  603 , MAUA",-23.6641802,-46.4198238,MAUA,4
8022,CLEBER BARBOSA DE MENEZES 16603240840,24473145000178,"RUA BROOK TAYLOR  785 , SAO PAULO",-23.5281073,-46.480297,SAO PAULO,3
8023,COMERCIO E SERVICOS DE VIDROS E ESQUADRIAS MSABC EIRELI,24476025000124,"RUA DOM PEDRO FERNANDES SARDINHA  153 , SANTO ANDRE",-23.6554302,-46.5605359,SANTO ANDRE,3
8024,LLS  MATERIAIS PARA CONSTRUCAO LTDA,24477334000119,"RUA BUENOPOLIS  16 , SAO PAULO",-23.5739897,-46.56413,SAO PAULO,1
8025,JADSON VIEIRA DA SILVA 40920220851,24486807000144,"AVENIDA ARGENTINA  128 , ITAPECERICA DA SERRA",-23.7082116,-46.858612,ITAPECERICA DA SERRA,4
8026,CAMPO BELO VIDROS LTDA,24491345000153,"RUA VIEIRA DE MORAIS  1983 , SAO PAULO",-23.6268165,-46.6644492,SAO PAULO,2
8027,GATOCCI DEPOSITO DE MATERIAIS PARA CONSTRUCAO LTDA,24495763000119,"RUA WADIA JAFET ASSAD  325 , SAO BERNARDO DO CAMPO",-23.7282006,-46.5700663,SAO BERNARDO DO CAMPO,4
8028,GATOCCI DEPOSITO DE MATERIAIS PARA CONSTRUCAO LTDA,24495763000119,"RUA WADIA JAFET ASSAD  325 , SAO BERNARDO DO CAMPO",-23.7282006,-46.5700663,SAO BERNARDO DO CAMPO,4
8029,F F ZANA MATERIAIS PARA CONSTRUCAO EIRELI,24502143000160,"ESTRADA CANAL DE COCAIA  SN , SAO PAULO",-23.7441736,-46.6701936,SAO PAULO,4
8030,DEPOSITO MEGA DE MATERIAL PARA CONSTRUCAO LTDA,24506154000118,"AVENIDA PADRE ARLINDO VIEIRA  1840 , SAO PAULO",-23.636611,-46.6065824,SAO PAULO,2
8031,DEPOSITO MEGA DE MATERIAL PARA CONSTRUCAO LTDA,24506154000380,"RUA JOSE SERDEIRA RIBAS  52 , SAO PAULO",-23.6345127,-46.6068094,SAO PAULO,2
8032,AMDL MATERIAIS ELETRICOS  EIRELI,24514004000156,"RUA PARAIBA  305 , SAO PAULO",-23.5317554,-46.6159607,SAO PAULO,1
8033,LAMINADO GLASS COMERCIO DE VIDROS E BOX EIRELI,24525336000136,"RUA BRAZELIZA ALVES CARVALHO  512 , SAO PAULO",-23.5114958,-46.6506489,SAO PAULO,1
8034,MY ESQUADRIAS DEPOSITO DE MATERIAIS PARA CONSTRUCAO CIVIL LTDA,24551429000135,"AVENIDA FRANCISCO FERREIRA LOPES  4344 , MOGI DAS CRUZES",-23.5419459,-46.2401455,MOGI DAS CRUZES,4
8035,SIMAO COMERCIO TINTAS EIRELI,24555817000194,"RUA ELVIRA VIGGIANO FERREIRA  6 , FERRAZ DE VASCONCELOS",-23.5278931,-46.3838575,FERRAZ DE VASCONCELOS,4
8036,ALUMARQUE COMERCIO DE METAIS E ACESSORIOS LTDA,24564281000173,"ESTRADA SANTA LUZIA  10040 , SUZANO",-23.5461258,-46.3084079,SUZANO,4
8037,CONSTRUIR GRANJA VIANA MATERIAL DE CONSTRUCAO LTDA,24566423000131,"RUA SAO CAMILO  369 , CARAPICUIBA",-23.5712633,-46.8532634,CARAPICUIBA,4
8038,KZABOX VIDROS  COMERCIO E SERVICOS  EIRELI,24568173000179,"RUA ANA NERI  384 , SANTO ANDRE",-23.6268331,-46.5311843,SANTO ANDRE,2
8039,A L 2 ENGENHARIA & CONSTRUCOES LTDA,24576476000133,"RUA JOAO TEIZEN SOBRINHO  604 , SAO PAULO",-23.6914247,-46.7093466,SAO PAULO,3
8040,JCA CHURRASQUEIRAS EIRELI,24579410000105,"AVENIDA ENGENHEIRO CAETANO ALVARES  4355 , SAO PAULO",-23.4868734,-46.6462137,SAO PAULO,1
8041,TLM USINAGEM EIRELI,24581231000102,"AVENIDA NOSSA SENHORA DAS GRACAS  329 , DIADEMA",-23.7055588,-46.605298,DIADEMA,3
8042,MM KOLLORS EIRELI,24582415000189,"ESTRADA QUINTA DO MORRO  1046 , EMBU DAS ARTES",-23.6718831,-46.8477462,EMBU DAS ARTES,4
8043,RITA DE CASSIA MARTINS DA ROCHA CRUZ 00858648890,24582815000194,"RUA ITAPICURU  66 , DIADEMA",-23.6636124,-46.6138844,DIADEMA,2
8044,ISOFITA COMERCIO E IMPERMEABILIZACAO EIRELI,24584519000122,"AVENIDA DO ESTADO  400 , SAO CAETANO DO SUL",-23.6009528,-46.5763076,SAO CAETANO DO SUL,2
8045,VIDRARQ COMERCIO DE VIDROS LTDA,24585703000197,"RUA LUIS GOIS  1573 , SAO PAULO",-23.6040777,-46.6429805,SAO PAULO,1
8046,MONIKE FERREIRA DA SILVA 43230548825,24586002000172,"RUA DIOGENES RIBEIRO DE LIMA  1 , BARUERI",-23.5126483,-46.8939352,BARUERI,4
8047,GUILHERME HAXKAR,24589106000130,"RUA LAUDELINO DE ABREU  175 , SAO PAULO",-23.5720638,-46.7559671,SAO PAULO,2
8048,MINILGLASS COMERCIO E SERVICOS EIRELI,24592169000146,"RUA JAVAES  7 , SANTO ANDRE",-23.675891,-46.5257677,SANTO ANDRE,3
8049,JERP COMERCIO DE PIGMENTOS E TINTAS LTDA,24594077000103,"AVENIDA DA SAUDADE  13 , MAUA",-23.672784,-46.4567249,MAUA,4
8050,JK COMERCIO DE TINTAS E MATERIAIS EIRELI,24597662000159,"RUA ALZIRA  143 , SANTO ANDRE",-23.6699042,-46.5186976,SANTO ANDRE,3
8051,JOSE RAIMUNDO SIMOES,24601141000128,"RUA TINGARANA  59 , SAO PAULO",-23.5001986,-46.4671169,SAO PAULO,3
8052,APARECIDA NAZARE GOUVEA 07331208810,24611666000144,"RUA CRAVO  235 , OSASCO",-23.5346002,-46.7954176,OSASCO,3
8053,MANUK COMERCIO DE MADEIRAS LTDA,24613553000188,"RUA CLEMENTINO  171 , SAO PAULO",-23.4802876,-46.6282388,SAO PAULO,1
8054,BRASIL HIDRA ENGENHARIA EIRELI,24615187000104,"RUA LINDOIA  65 , SANTO ANDRE",-23.6821257,-46.5486217,SANTO ANDRE,3
8055,J LADEMIR ELETRICA E HIDRAULICA EIRELI,24626706000121,"RUA SEBASTIAO AZEVEDO  126 , SAO PAULO",-23.6435899,-46.745797,SAO PAULO,3
8056,BRASIL TELAS INDUSTRIA E COMERCIO EIRELI,24628642000106,"AVENIDA MUTINGA  774 , SAO PAULO",-23.4876583,-46.7344239,SAO PAULO,2
8057,BRUNA JACOIA RODRIGUES 22765518874,24635130000169,"RUA MARTINS  558 , SAO BERNARDO DO CAMPO",-23.6680905,-46.5927937,SAO BERNARDO DO CAMPO,3
8058,UPTIME LED COMERCIO LTDA,24638185000122,"RUA AURORA  185 , SAO PAULO",-23.5388979,-46.6384331,SAO PAULO,1
8059,MARCELO DOS SANTOS BANANEIRA 35630745859,24641260000104,"RUA ABILIO CESAR  22 , SAO PAULO",-23.6884981,-46.781259,SAO PAULO,4
8060,JEMIMA COMERCIO  &  MONTAGENS ELETRICAS  LTDA,24649130000118,"RUA ALCANTARA  695 , POA",-23.5116818,-46.3649792,POA,4
8061,GOLDEN LINE COMERCIAL LTDA,24649644000173,"AVENIDA JURUBATUBA  31 , DIADEMA",-23.693075,-46.583605,DIADEMA,3
8063,E L DOS SANTOS REVESTIMENTOS E CONSTRUCAO CIVIL,24664012000189,"RUA PANTOJO  1036 , SAO PAULO",-23.5608812,-46.5674854,SAO PAULO,1
8065,ANDRE LUIZ COSTA AMARAL 38540628856,24673458000170,"RUA DA INDEPENDENCIA  213 , SAO PAULO",-23.5650423,-46.6194018,SAO PAULO,1
8066,FIRLLYSON CARLOS MONTEIRO RIBEIRO 33801963802,24676594000113,"RUA RECIFE  170 , OSASCO",-23.506329,-46.7787232,OSASCO,3
8067,VANIA FAUSTINA BATISTA FERREIRA,24681909000110,"RUA ORLANDO MOMENTO  525 , ITAQUAQUECETUBA",-23.4459698,-46.3696515,ITAQUAQUECETUBA,4
8068,MARCIO FERNANDO RODRIGUES DA SILVA 00315763892,24685858000103,"AVENIDA AIMARA  589 , EMBU DAS ARTES",-23.6528333,-46.8151342,EMBU DAS ARTES,4
8069,MARIA HELENA ROCHA DE CASTRO 25811422865,24692922000175,"RUA ADERBAL  14 , SAO PAULO",-23.6579117,-46.7474053,SAO PAULO,3
8070,NEIVA MASCARENHAS CAMPOS DE LIMA 13993159861,24703366000195,"RUA PINTO ALEIXO  247 , SANTO ANDRE",-23.6820324,-46.4934218,SANTO ANDRE,4
8071,RAFAEL PEREIRA DA SILVA 41784628816,24711005000190,"AVENIDA JOAQUIM MANOEL DE MACEDO  745 , ITAQUAQUECETUBA",-23.4867694,-46.2982362,ITAQUAQUECETUBA,4
8072,L L DEPOSITO DE MATERIAL DE CONSTRUCAO EIRELI,24711820000150,"RUA BASILIO FAZZI  240 , FRANCO DA ROCHA",-23.3284532,-46.7276973,FRANCO DA ROCHA,4
8073,CHAMA CORES COMERCIAL DE TINTAS LTDA,24727926000141,"RUA HENRIQUE SAM MINDLIN  230 , SAO PAULO",-23.6769623,-46.7761084,SAO PAULO,4
8074,LEILAINE CAMPIOTO MESSIAS ASSESSORIA E TREINAMENTOS,24730560000160,"AVENIDA VEREADOR NARCISO YAGUE GUIMARAES  1145 , MOGI DAS CRUZES",-23.5168266,-46.1786744,MOGI DAS CRUZES,4
8075,ALR MATERIAIS DE CONSTRUCAO EIRELI,24731107000178,"RUA ITAMBE  472 , SAO PAULO",-23.5485479,-46.6552871,SAO PAULO,1
8076,JOSE VICENTE DO NASCIMENTO 58404074887,24736578000179,"RUA OSMAR SILVESTRE JORGE  185 , MAUA",-23.6971698,-46.4472585,MAUA,4
8077,ROSANGELA FRAMINIO DA SILVA 06107676821,24737437000170,"AVENIDA DOS SERTANISTAS  415 , SAO PAULO",-23.6260237,-46.4455892,SAO PAULO,3
8078,JORGE DA SILVA AUGUSTO 13607523827,24737499000182,"AVENIDA CASA GRANDE  1350 , SAO PAULO",-23.6053728,-46.5212137,SAO PAULO,2
8079,FOXLIGHT ELETRICA E DISTRIBUIDORA LTDA,24737590000106,"AVENIDA DOS PATOS  315 , BARUERI",-23.4898834,-46.9544631,BARUERI,4
8080,COMERCIAL E DISTRIBUIDORA ALLIANCE  EIRELI,24742253000107,"ESTRADA DOS ROMEIROS  1655 , BARUERI",-23.4921596,-46.8811564,BARUERI,4
8081,LUAR COMERCIO DE TINTAS LTDA,24743047000103,"AVENIDA CANDIDO JOSE XAVIER  93 , SAO PAULO",-23.6618411,-46.7530822,SAO PAULO,3
8082,THIAGO SILVA SALATIEL PISCINAS,24744172000138,"RODOVIA REGIS BITTENCOURT  106 , ITAPECERICA DA SERRA",-23.7155259,-46.8800758,ITAPECERICA DA SERRA,4
8083,CASA GRANDE AREIA E PEDRA LTDA,24744784000120,"RUA DOUTOR JOAO BAPTISTA GOMES DE SIQUEIRA  227 , SAO PAULO",-23.7734129,-46.723194,SAO PAULO,4
8084,STRATTI ASSESSORIA COMERCIAL E SERVICOS TECNICOS EIRELI,24746921000166,"AVENIDA CANDIDO PORTINARI  890 , SANTANA DE PARNAIBA",-23.4270961,-46.8293253,SANTANA DE PARNAIBA,4
8085,ROSSI COMERCIO E BENEFICIAMENTO DE CORRENTES LTDA,24766984000184,"RUA CANHOBA  573 , SAO PAULO",-23.4064138,-46.7385682,SAO PAULO,3
8086,NEILSON GARCIA DOS SANTOS 02263796711,24768227000140,"RUA SERRA DA CANTAREIRA (JD CANTAREIRA)  68 , SAO BERNARDO DO CAMPO",-23.7350882,-46.588483,SAO BERNARDO DO CAMPO,4
8087,MARCO MAD MADEIRAS E FERRAGENS EIRELI,24768785000105,"RUA BOM PASTOR  2840 , SAO PAULO",-23.60141,-46.6037989,SAO PAULO,1
8088,LUIZ GONCALVES MARIANO 63961296804,24771686000182,"RUA QUINZE DE NOVEMBRO  913 , ITAQUAQUECETUBA",-23.4952912,-46.3431759,ITAQUAQUECETUBA,4
8089,DOUGLAS MARTINS 09196399848,24773552000109,"AVENIDA SENADOR VERGUEIRO  1514 , SAO BERNARDO DO CAMPO",-23.683052,-46.5548228,SAO BERNARDO DO CAMPO,3
8090,PORTAL LUX FRANCHISING COMERCIAL ELETRICA E INSTALACOES LTDA,24774329000178,"RUA TRES RIOS  244 , SAO PAULO",-23.5290905,-46.6364053,SAO PAULO,1
8091,RCX EQUIPAMENTOS INDUSTRIAIS LTDA,24776107000194,"RUA PADRE ISIDORO  37 , SAO PAULO",-23.5733588,-46.5058839,SAO PAULO,2
8092,SERGIO RIBEIRO LAMINADOS,24784030000102,"RUA CASPER LIBERO  465 , SAO BERNARDO DO CAMPO",-23.6706986,-46.5867767,SAO BERNARDO DO CAMPO,3
8093,FABIO BORGES RIBEIRO 28221930881,24788941000108,"RUA COTIA  100 , JANDIRA",-23.5473586,-46.8997869,JANDIRA,4
8094,LED AURORA COMERCIAL LTDA,24793258000150,"RUA AURORA  175 , SAO PAULO",-23.5389282,-46.6383672,SAO PAULO,1
8095,ALGI VIDROS EIRELI,24794608000101,"RUA DAS DALIAS  312 , SAO PAULO",-23.6001175,-46.5700943,SAO PAULO,2
8096,HALPTEC COMERCIO E SERVICOS ELETRICOS EIRELI,24794967000150,"RUA DA TRANSMISSAO (VL VIVALDI)  145 , SAO BERNARDO DO CAMPO",-23.662398,-46.5624004,SAO BERNARDO DO CAMPO,3
8097,TGS COMERCIO VAREJISTA DE FERRO EIRELI,24794995000178,"ESTRADA SAO MIGUEL ARCANJO  132 , ITAQUAQUECETUBA",-23.4473049,-46.3625935,ITAQUAQUECETUBA,4
8098,ERICA BARBOSA BEZERRA DA SILVA 34476800831,24801876000103,"RUA ANANIAS DE ALMEIDA  296 , OSASCO",-23.5337351,-46.8127512,OSASCO,3
8099,DIAS ESQUADRIAS METALICAS EIRELI,24806174000104,"RUA FREDERICO ALBUQUERQUE  3 , SAO PAULO",-23.6617261,-46.6587887,SAO PAULO,2
8100,VALDOMIRO DE JESUS SOUZA 14652669844,24807876000102,"RUA CARNEIRO DA CUNHA  344 , SAO PAULO",-23.6163194,-46.6368781,SAO PAULO,2
8101,SAURO LAREDONDO FIGUEIREDO 03781539865,24810568000136,"AVENIDA JACANA  545 , SAO PAULO",-23.4661778,-46.5874188,SAO PAULO,2
8102,JOSE CARLOS PALMA 01111012806,24817274000136,"AVENIDA SAPOPEMBA  4614 , SAO PAULO",-23.578278,-46.5456561,SAO PAULO,2
8103,JESSICA GONCALVES DIAS 06848392960,24826945000125,"AVENIDA PAPA JOAO XXIII  990 , SAO CAETANO DO SUL",-23.6413092,-46.5797821,SAO CAETANO DO SUL,2
8104,MORAES COMERCIO DE MATERIAL ELETRICO LTDA,24827474000170,"RUA CELINA FRANCISCO DE FARIA  20 , MOGI DAS CRUZES",-23.5597918,-46.2103286,MOGI DAS CRUZES,4
8105,H3 COMERCIAL E IMPORTADORA LTDA,24829668000104,"AVENIDA IPANEMA  743 , SAO PAULO",-23.6849972,-46.711121,SAO PAULO,3
8106,JACKELINE DE OLIVEIRA MINGUETTE 40463280881,24835461000142,"RUA FRANCISCO BATISTA OLIVEIRA  125 , JANDIRA",-23.544849,-46.9155516,JANDIRA,4
8107,ADB HIDRAULICA COMERCIO E ENGENHARIA EIRELI,24835587000117,"RUA PORTO ALEGRE  429 , SAO PAULO",-23.5631897,-46.5810415,SAO PAULO,1
8108,BORGES ACOS PARA CONSTRUCAO LTDA,24837020000180,"AVENIDA PADRE VICENTE MELILLO  1076 , OSASCO",-23.555336,-46.7801891,OSASCO,3
8109,EMT LTDA,24837747000167,"AVENIDA ELISIO TEIXEIRA LEITE  2160 , SAO PAULO",-23.475711,-46.7039107,SAO PAULO,2
